IRIS,DISP_MED21
751010101,
751010102,
751010103,
751010104,
751010105,
751010199,
751010201,31290.0
751010202,38680.0
751010203,32760.0
751010204,31480.0
751010205,
751010206,
751010301,37570.0
751010302,
751010303,
751010401,43970.0
751010402,38990.0
751020501,
751020502,
751020503,
751020601,37560.0
751020602,37990.0
751020701,34950.0
751020702,35680.0
751020703,34720.0
751020704,
751020801,30390.0
751020802,33530.0
751020803,32870.0
751020804,30890.0
751020805,30740.0
751030901,32970.0
751030902,34230.0
751030903,34890.0
751030904,29560.0
751030905,33520.0
751031001,34530.0
751031002,37440.0
751031003,35740.0
751031004,39040.0
751031101,37610.0
751031102,36350.0
751031103,38890.0
751031104,39460.0
751031201,33340.0
751031202,33540.0
751031203,30830.0
751031204,31030.0
751041301,35360.0
751041302,33940.0
751041303,31030.0
751041304,
751041305,
751041399,
751041401,24750.0
751041402,32540.0
751041403,32610.0
751041404,31790.0
751041499,
751041501,30860.0
751041502,36430.0
751041503,40530.0
751041504,37040.0
751041588,
751041599,
751041601,38100.0
751041602,
751041603,
751041699,
751051701,34600.0
751051702,37090.0
751051703,34440.0
751051704,38310.0
751051705,36710.0
751051706,
751051799,
751051801,37890.0
751051802,35070.0
751051803,34480.0
751051804,30860.0
751051805,30380.0
751051806,31620.0
751051807,32440.0
751051808,38000.0
751051809,
751051899,
751051901,36270.0
751051902,38910.0
751051903,38350.0
751051904,46310.0
751051905,48960.0
751051906,39530.0
751051907,38570.0
751051908,34730.0
751052001,32050.0
751052002,44780.0
751052003,31260.0
751052004,35820.0
751052005,
751052099,
751062101,39150.0
751062102,33650.0
751062103,36680.0
751062199,
751062201,48080.0
751062202,43450.0
751062203,37190.0
751062204,39910.0
751062205,
751062301,47740.0
751062302,48510.0
751062303,44360.0
751062304,49500.0
751062305,44470.0
751062306,43230.0
751062307,45110.0
751062308,39620.0
751062309,35410.0
751062310,41930.0
751062311,48580.0
751062401,37130.0
751062402,39360.0
751062499,
751072501,51140.0
751072502,52800.0
751072503,44520.0
751072504,43550.0
751072505,44830.0
751072506,42690.0
751072507,
751072508,
751072599,
751072601,47760.0
751072602,49800.0
751072603,
751072604,50930.0
751072605,
751072606,
751072699,
751072701,41560.0
751072702,44390.0
751072703,56660.0
751072704,48090.0
751072705,57720.0
751072706,40240.0
751072707,
751072801,43650.0
751072802,42420.0
751072803,34860.0
751072804,39250.0
751072805,37140.0
751072806,65140.0
751072807,58600.0
751072808,49700.0
751072809,46540.0
751072810,40690.0
751072811,57010.0
751072812,
751072899,
751082901,
751082902,
751082903,
751082904,
751082905,
751082906,
751082907,
751082999,
751083001,48330.0
751083002,42570.0
751083003,
751083004,38930.0
751083005,31950.0
751083006,
751083101,
751083102,
751083103,
751083104,
751083105,45700.0
751083106,45550.0
751083107,
751083108,
751083201,43680.0
751083202,49720.0
751083203,56150.0
751083204,52250.0
751083205,51570.0
751083206,43360.0
751083207,43720.0
751083208,
751083209,45120.0
751083210,
751093301,41910.0
751093302,44600.0
751093303,38640.0
751093304,46130.0
751093305,44430.0
751093306,38810.0
751093307,38460.0
751093308,30770.0
751093309,32910.0
751093310,42680.0
751093311,
751093401,
751093402,
751093403,39500.0
751093404,
751093405,
751093406,
751093407,38590.0
751093408,
751093409,
751093501,31770.0
751093502,35910.0
751093503,39170.0
751093504,37910.0
751093601,37160.0
751093602,35100.0
751093603,31920.0
751093604,37550.0
751093605,37080.0
751093606,39070.0
751093607,34590.0
751093608,37460.0
751093609,37020.0
751093610,34930.0
751103701,32510.0
751103702,27830.0
751103703,29540.0
751103704,37740.0
751103705,38770.0
751103706,31790.0
751103707,28360.0
751103708,29790.0
751103709,26310.0
751103710,
751103711,
751103712,
751103801,32720.0
751103802,23430.0
751103803,33570.0
751103804,32850.0
751103805,30920.0
751103806,35840.0
751103901,29430.0
751103902,34860.0
751103903,35120.0
751103904,33220.0
751103905,31100.0
751103906,31300.0
751103907,31170.0
751103908,29480.0
751103909,29460.0
751103910,33770.0
751103988,
751104001,21690.0
751104002,22990.0
751104003,27390.0
751104004,23760.0
751104005,20240.0
751104006,26360.0
751104007,25190.0
751104008,26480.0
751104009,30680.0
751104010,23400.0
751104011,24880.0
751104012,
751104088,
751114101,25760.0
751114102,24210.0
751114103,30390.0
751114104,34350.0
751114105,35360.0
751114106,33750.0
751114107,34730.0
751114108,31370.0
751114109,24950.0
751114110,20220.0
751114111,19340.0
751114112,15140.0
751114113,28140.0
751114114,30040.0
751114115,32260.0
751114201,25410.0
751114202,29170.0
751114203,34350.0
751114204,28690.0
751114205,35100.0
751114206,33260.0
751114207,37250.0
751114208,38400.0
751114209,32970.0
751114210,30080.0
751114211,33320.0
751114212,37280.0
751114213,32450.0
751114214,28000.0
751114301,23790.0
751114302,30420.0
751114303,21370.0
751114304,29460.0
751114305,27080.0
751114306,27540.0
751114307,28400.0
751114308,27750.0
751114309,28940.0
751114310,36790.0
751114311,30420.0
751114312,34370.0
751114313,36050.0
751114314,32790.0
751114315,29840.0
751114316,30070.0
751114317,33380.0
751114318,31160.0
751114319,24760.0
751114320,26930.0
751114321,29230.0
751114401,37110.0
751114402,34800.0
751114403,31500.0
751114404,34370.0
751114405,28830.0
751114406,31400.0
751114407,31470.0
751114408,34200.0
751114409,30480.0
751114410,30030.0
751114411,28620.0
751114412,30790.0
751114413,35420.0
751124501,21620.0
751124502,33480.0
751124503,30210.0
751124504,31900.0
751124505,33080.0
751124506,35740.0
751124507,29880.0
751124508,34530.0
751124509,30960.0
751124510,20470.0
751124511,19130.0
751124512,30480.0
751124513,34080.0
751124514,35940.0
751124577,
751124601,29040.0
751124602,30830.0
751124603,33630.0
751124604,23370.0
751124605,28230.0
751124606,25590.0
751124608,32970.0
751124609,19660.0
751124610,33810.0
751124611,33860.0
751124612,32550.0
751124613,27770.0
751124614,35140.0
751124615,31470.0
751124616,34000.0
751124617,33250.0
751124618,34420.0
751124619,28160.0
751124620,30370.0
751124621,28610.0
751124622,
751124623,37510.0
751124624,40340.0
751124677,
751124701,28700.0
751124702,27930.0
751124703,25980.0
751124704,29970.0
751124705,25330.0
751124706,
751124707,
751124708,
751124799,
751124801,28240.0
751124802,25490.0
751124803,39850.0
751124804,37440.0
751124805,33450.0
751124806,35310.0
751124807,32380.0
751124808,37950.0
751124809,31840.0
751124810,33830.0
751124811,
751124812,
751124813,
751124888,
751124899,
751134901,25830.0
751134902,24500.0
751134903,30730.0
751134904,20120.0
751134905,33160.0
751134906,34540.0
751134907,31690.0
751134908,
751134999,
751135001,18890.0
751135002,17010.0
751135003,19730.0
751135004,16750.0
751135005,23220.0
751135006,25430.0
751135007,23080.0
751135008,21180.0
751135009,24190.0
751135010,27620.0
751135011,26490.0
751135012,24350.0
751135013,17220.0
751135014,24150.0
751135015,24060.0
751135016,21980.0
751135017,
751135018,27810.0
751135019,26650.0
751135020,27370.0
751135021,27950.0
751135023,27790.0
751135024,30370.0
751135025,25870.0
751135026,21000.0
751135027,19350.0
751135028,24810.0
751135029,23900.0
751135030,22560.0
751135031,17520.0
751135032,
751135099,
751135101,19380.0
751135102,23170.0
751135103,23530.0
751135104,22770.0
751135105,30670.0
751135106,24440.0
751135107,24420.0
751135108,17370.0
751135109,19460.0
751135110,25990.0
751135111,22910.0
751135112,33760.0
751135113,30380.0
751135114,28620.0
751135115,34600.0
751135116,32130.0
751135117,26900.0
751135118,31150.0
751135119,18610.0
751135120,31560.0
751135121,32750.0
751135122,35580.0
751135123,29560.0
751135124,35070.0
751135125,27050.0
751135201,34370.0
751135202,25410.0
751135203,36960.0
751135204,28710.0
751135205,32950.0
751135206,37330.0
751135207,36880.0
751145301,30870.0
751145302,41540.0
751145303,35560.0
751145304,31900.0
751145305,38590.0
751145306,37680.0
751145307,35640.0
751145308,32640.0
751145309,40980.0
751145310,40240.0
751145311,
751145401,
751145402,37270.0
751145403,30240.0
751145404,29320.0
751145405,29460.0
751145406,40170.0
751145407,
751145501,19730.0
751145502,25650.0
751145503,19260.0
751145504,34660.0
751145505,27420.0
751145506,37720.0
751145507,36620.0
751145508,34420.0
751145509,36130.0
751145510,36210.0
751145511,36790.0
751145512,34410.0
751145513,35120.0
751145514,36110.0
751145515,33770.0
751145516,35540.0
751145601,21020.0
751145602,18830.0
751145603,16770.0
751145604,19390.0
751145605,29260.0
751145606,28850.0
751145607,30100.0
751145608,30500.0
751145609,19290.0
751145610,28820.0
751145611,20670.0
751145612,34250.0
751145613,34670.0
751145614,29280.0
751145615,29250.0
751145616,27330.0
751145617,19510.0
751145618,21310.0
751145619,25990.0
751145620,25430.0
751145621,27260.0
751145622,34130.0
751145623,31680.0
751145624,35810.0
751145625,30710.0
751155701,18730.0
751155702,24190.0
751155703,28460.0
751155704,19100.0
751155705,26600.0
751155706,35530.0
751155707,29880.0
751155708,30500.0
751155709,34740.0
751155710,32340.0
751155711,34860.0
751155712,34020.0
751155713,41000.0
751155714,34180.0
751155715,31890.0
751155716,31130.0
751155717,32000.0
751155718,31940.0
751155719,33630.0
751155720,32510.0
751155721,37740.0
751155722,37940.0
751155723,37180.0
751155724,37890.0
751155725,39420.0
751155726,28910.0
751155727,27560.0
751155728,34930.0
751155729,38650.0
751155730,37960.0
751155731,28840.0
751155732,
